timestamp,temperature,humidity,rain,wind_speed,pressure,pm25,pm10,co,no2,so2,ozone,aqi,hour,day_of_week,month,aqi_lag_1,aqi_lag_2,aqi_lag_24,pm25_lag_1,aqi_roll_mean_3h,aqi_roll_mean_24h,aqi_roll_std_24h,aqi_change_rate,humidity_pm25_interaction
2025-06-02 00:00:00,28.6,86,0.0,13.8,996.0,22.7,79.2,169.0,4.9,5.9,66.0,103,0,0,6,103.0,103.0,98.0,21.8,103.0,99.29166666666667,2.404328825566349,0.0,1952.2
2025-06-02 01:00:00,29.2,82,0.0,12.7,996.5,25.0,84.1,230.0,6.9,6.9,66.0,104,1,0,6,103.0,103.0,98.0,22.7,103.33333333333333,99.54166666666667,2.5703859745125817,0.0,2050.0
2025-06-02 02:00:00,29.8,78,0.0,11.0,996.9,29.5,107.8,312.0,9.5,8.4,66.0,105,2,0,6,104.0,103.0,97.0,25.0,104.0,99.875,2.739604858845281,1.0,2301.0
2025-06-02 03:00:00,30.8,73,0.0,12.7,997.3,38.8,173.7,359.0,10.9,10.1,72.0,106,3,0,6,105.0,104.0,97.0,29.5,105.0,100.25,2.937760164242254,1.0,2832.3999999999996
2025-06-02 04:00:00,32.0,66,0.0,13.4,997.6,52.0,268.2,335.0,9.7,12.4,88.0,108,4,0,6,106.0,105.0,97.0,38.8,106.33333333333333,100.70833333333333,3.250139350412751,1.0,3432.0
2025-06-02 05:00:00,32.8,62,0.0,15.3,997.5,63.1,331.6,276.0,7.3,14.9,109.0,110,5,0,6,108.0,106.0,97.0,52.0,108.0,101.25,3.6623822135682174,2.0,3912.2000000000003
2025-06-02 06:00:00,33.3,60,0.0,16.5,997.3,70.3,366.9,233.0,5.3,16.5,124.0,112,6,0,6,110.0,108.0,97.0,63.1,110.0,101.875,4.152657608976601,2.0,4218.0
2025-06-02 07:00:00,33.8,57,0.0,16.8,996.8,73.1,372.5,225.0,4.4,16.3,129.0,114,7,0,6,112.0,110.0,97.0,70.3,112.0,102.58333333333333,4.69890520705914,2.0,4166.7
2025-06-02 08:00:00,33.5,59,0.0,18.0,996.4,72.9,362.3,232.0,4.0,15.2,128.0,115,8,0,6,114.0,112.0,97.0,73.1,113.66666666666667,103.33333333333333,5.180789487148161,2.0,4301.1
2025-06-02 09:00:00,33.2,61,0.0,18.4,995.9,72.9,360.4,245.0,4.1,14.0,124.0,115,9,0,6,115.0,114.0,97.0,72.9,114.66666666666667,104.08333333333333,5.516116045904405,1.0,4446.900000000001
2025-06-02 10:00:00,32.8,63,0.0,18.5,995.7,71.0,341.8,266.0,4.8,12.9,117.0,115,10,0,6,115.0,115.0,97.0,72.9,115.0,104.83333333333333,5.730670092593441,0.0,4473.0
2025-06-02 11:00:00,32.3,67,0.0,17.6,995.5,67.1,314.8,293.0,6.1,11.8,107.0,115,11,0,6,115.0,115.0,97.0,71.0,115.0,105.58333333333333,5.837782981999892,0.0,4495.7
2025-06-02 12:00:00,31.5,72,0.0,17.2,995.2,61.2,289.6,309.0,8.2,11.1,92.0,115,12,0,6,115.0,115.0,98.0,67.1,115.0,106.29166666666667,5.908572745093183,0.0,4406.400000000001
2025-06-02 13:00:00,30.8,77,0.0,16.0,995.8,52.4,228.6,306.0,11.9,10.6,82.0,116,13,0,6,115.0,115.0,99.0,61.2,115.33333333333333,107.0,6.014475292448901,0.0,4034.7999999999997
2025-06-02 14:00:00,29.6,84,0.0,15.5,996.0,41.7,157.9,291.0,16.8,10.0,68.0,117,14,0,6,116.0,115.0,99.0,52.4,116.0,107.75,6.095258313889864,1.0,3502.8
2025-06-02 15:00:00,29.5,85,0.0,15.1,996.9,35.3,120.1,275.0,19.6,9.3,59.0,118,15,0,6,117.0,116.0,100.0,41.7,117.0,108.5,6.206588364829329,1.0,3000.4999999999995
2025-06-02 16:00:00,29.2,84,0.0,15.1,997.6,31.9,103.6,260.0,18.3,8.7,58.0,118,16,0,6,118.0,117.0,101.0,35.3,117.66666666666667,109.20833333333333,6.283028670582552,1.0,2679.6
2025-06-02 17:00:00,29.1,83,0.0,16.2,998.0,29.4,92.0,243.0,14.8,8.2,62.0,119,17,0,6,118.0,118.0,101.0,31.9,118.33333333333333,109.95833333333333,6.334715714884595,0.0,2440.2
2025-06-02 18:00:00,29.0,80,0.0,16.0,998.4,27.1,80.1,225.0,11.5,7.7,65.0,119,18,0,6,119.0,118.0,102.0,29.4,118.66666666666667,110.66666666666667,6.356555443119278,1.0,2168.0
2025-06-02 19:00:00,29.0,80,0.0,16.6,998.4,25.6,73.1,202.0,9.1,7.2,66.0,120,19,0,6,119.0,119.0,102.0,27.1,119.33333333333333,111.41666666666667,6.351423439682242,0.0,2048.0
2025-06-02 20:00:00,28.7,82,0.0,17.5,997.7,24.8,69.8,177.0,7.0,6.8,66.0,120,20,0,6,120.0,119.0,102.0,25.6,119.66666666666667,112.16666666666667,6.253115165688411,1.0,2033.6000000000001
2025-06-02 21:00:00,28.4,85,0.0,15.0,997.2,24.4,70.5,159.0,5.5,6.5,66.0,121,21,0,6,120.0,120.0,102.0,24.8,120.33333333333333,112.95833333333333,6.1111385594464895,0.0,2074.0
